id,number,name,description,numCredits,numCredits,numCredits
139,AER E 564,Fracture and Fatigue,"Materials and mechanics approach to fracture and fatigue. Fracture mechanics, brittle and ductile fracture, fracture and fatigue characteristics, fracture of thin films and layered structures. Fracture and fatigue tests, mechanics and materials designed to avoid fracture or fatigue.",,3,3
140,AER E 565,Systems Engineering and Analysis,"Introduction to organized multidisciplinary approach to designing and developing systems. Concepts, principles, and practice of systems engineering as applied to large integrated systems. Life cycle costing, scheduling, risk management, functional analysis, conceptual and detail design, test and evaluation, and systems engineering planning and organization.   Not available for degrees in industrial engineering.",,3,3
141,AER E 566,Avionics Systems Engineering,Avionics functions. Applications of systems engineering principles to avionics. Top down design of avionics systems. Automated design tools.,,3,3
142,AER E 568,Large-Scale Complex Engineered Systems (LSCES),"Introduction to the theoretical foundation and methods associated with the design for large-scale complex engineered systems, including objective function formation, design reliability, value-driven design, product robustness, utility theory, economic factors for the formation of a value function and complexity science as a means of detecting unintended consequences in the product behavior.",,3,3
143,AER E 569,Mechanics of Composite and Combined Materials,Mechanics of fiber-reinforced materials. Micromechanics of lamina. Macromechanical behavior of lamina and laminates. Strength and interlaminar stresses of laminates. Failure criteria. Stress analysis of laminates. Thermal moisture and residual stresses. Joints in composites.,,3,3
144,AER E 570,Wind Engineering,"Atmospheric circulations, atmospheric boundary layer wind, bluff-body aerodynamics, aeroelastic phenomena, wind-tunnel and full-scale testing, wind-load code and standards, effect of tornado and thunderstorm winds, design applications.",,3,3
145,AER E 572,Turbulence,"Qualitative features of turbulence. Statistical representation of turbulent velocity fields: averages, moments, correlations, length and time scales and the energy cascade. Averaged equations of motion, closure requirements, Reynolds averaged models. Homogeneous shear flows, free shear flows, boundary layers. Numerical simulation of turbulence: DNS, LES, DES.",,3,3
146,AER E 573,Random Signal Analysis and Kalman Filtering,Elementary notions of probability. Random processes. Autocorrelation and spectral functions. Estimation of spectrum from finite data. Response of linear systems to random inputs. Discrete and continuous Kalman filter theory and applications. Smoothing and prediction. Linearization of nonlinear dynamics.,,3,3
147,AER E 574,Optimal Control,"The optimal control problem. Variational approach. Pontryagin's principle, Hamilton-Jacobi equation. Dynamic programming. Time-optimal, minimum fuel, minimum energy control systems. The regulator problem. Structures and properties of optimal controls.",,3,3
148,AER E 575,Introduction to Robust Control,"Introduction to modern robust control. Model and signal uncertainty in control systems. Uncertainty description. Stability and performance robustness to uncertainty. Solutions to the H2, Hoo, and l1 control problems. Tools for robustness analysis and synthesis.",,3,3
149,AER E 576,Digital Feedback Control Systems,"Sampled data, discrete data, and the z-transform. Design of digital control systems using transform methods: root locus, frequency response and direct design methods. Design using state-space methods. Controllability, observability, pole placement, state estimators. Digital filters in control systems. Microcomputer implementation of digital filters. Finite wordlength effects. Linear quadratic optimal control in digital control systems. Simulation of digital control systems.",,3,3
150,AER E 577,Linear Systems,Linear algebra review. Least square method and singular value decomposition. State space modeling of linear continuous-time systems. Solution of linear systems. Controllability and observability. Canonical description of linear equations. Stability of linear systems. State feedback and pole placements. Observer design for linear systems.,,3,3
151,AER E 578,Nonlinear Systems,Linear vs nonlinear systems. Phase plane analysis. Bifurcation and center manifold theory. Lyapunov stability. Absolute stability of feedback systems. Input-output stability. Passivity theory and feedback linearization. Nonlinear control design techniques.,,3,3
152,AER E 581,Perturbation Methods,Mathematical perturbation methods with applications to ordinary and partial differential equations. Perturbation expansions. Order of magnitude and gauge functions. Matched asymptotic expansions. Boundary layer problems. Multiple scales. Resonance and mode coupling. Solvability conditions for differential equations. Physical and engineering applications.,,3,3
153,AER E 590,Aerospace Engineering Independent Study: Special Topics,,,1-5,5-Jan
154,AER E 590A,Aerospace Engineering Independent Study: Aero and/or Gas Dynamics,,,1-5,5-Jan
155,AER E 590B,Aerospace Engineering Independent Study: Propulsion,,,1-5,5-Jan
156,AER E 590C,Aerospace Engineering Independent Study: Aerospace Structures,,,1-5,5-Jan
157,AER E 590D,Aerospace Engineering Independent Study: Flight Dynamics,,,1-5,5-Jan
158,AER E 590E,Aerospace Engineering Independent Study: Spacecraft Systems,,,1-5,5-Jan
159,AER E 590F,Aerospace Engineering Independent Study: Flight Control Systems,,,1-5,5-Jan
160,AER E 590G,Aerospace Engineering Independent Study: Aeroelasticity,,,1-5,5-Jan
