id,number,name,description,prereqs,numCredits,departmentID
126,"AER E 521","Airframe Analysis","Analysis of static stresses and deformation in continuous aircraft structures. Various analytical and approximate methods of analysis of isotropic and anisotropic plates and shells.","AER E 421 or E M 424",3,3
127,"AER E 522","Design and Analysis of Composite Materials","Composite constituent materials, micro-mechanics, laminate analysis, hygro-thermal analysis, composite failure, joining of composites, design of composite beams and plates, honeycomb core, manufacturing of composites, short fiber composites, and demonstration laboratory.","E M 324",3,3
128,"AER E 524","Numerical Mesh Generation","Introduction to modern mesh generation techniques. Structured and unstructured mesh methods, algebraic and PDE methods, elliptic and hyperbolic methods, variational methods, error analysis, Delaunay triangulation, data structures, geometric modeling with B-spline and NURBS surfaces, surface meshing.","MATH 385, proficiency in programming",3,3
129,"AER E 525","Finite Element Analysis","Variational and weighted residual approach to finite element equations. Emphasis on two- and three-dimensional problems in solid mechanics. Isoparametric element formulation, higher order elements, numerical integration, imposition of constraints and penalty, convergence, and other more advanced topics. Use of two- and three-dimensional computer programs. Dynamic and vibrational problems, eigenvalues, and time integration. Introduction to geometric and material nonlinearities.","E M 425, MATH 385",3,3
130,"AER E 531","Automatic Control of Flight Vehicles","Applications of classical and modern linear control theory to automatic control of flight vehicles. Spacecraft attitude control. Control of flexible vehicles. Linear-quadratic regulator design applications.","AER E 331",3,3
131,"AER E 532","Compressible Fluid Flow","Thermodynamics of compressible flow. Viscous and inviscid compressible flow equations. One dimensional steady flow; isentropic flow, shocks, expansions. Multidimensional compressible flow aspects. Linear and nonlinear wave analysis and method of characteristics. Subsonic, transonic, supersonic and hypersonic flows.","AER E 310, 311 or equivalent",3,3
132,"AER E 541","Incompressible Flow Aerodynamics","Kinematics and dynamics of fluid flow. Derivation of the Navier-Stokes, Euler and potential flow equations. Introduction to generalized curvilinear coordinates. Ideal fluids. Two-dimensional and three-dimensional potential flow. Complex variable methods.","AER E 310 or M E 335 or equivalent",3,3
133,"AER E 545","Experimental Flow Mechanics and Heat Transfer","Similitude and dimensional analysis. Measurement uncertainty analysis; Fluid mechanical apparatus: wind tunnel and water tunnels. Various experimental techniques widely used for fluid mechanics, aerodynamics, heat transfer, and combustion studies: Pressure gauge and transducers; Pitot tube; hot wire anemometry; Shadowgraph and Schlieren Photography; laser Doppler velocimetry; particle image velocimetry (PIV); advanced PIV techniques (stereo PIV, 3-D PIV, Tomographic PIV, Holograph PIV and microscopic PIV); laser induced fluorescence; pressure sensitive painting, temperature sensitive painting; molecular tagging velocimetry; molecular tagging thermometry. Extensive applications and laboratory experiments will be included.","AER E 310 or M E 335 or E M 378",3,3
134,"AER E 546","Computational Fluid Mechanics and Heat Transfer I","Basic concepts of discretization, consistency, and stability. Explicit and implicit methods for ordinary differential equations. Methods for each type of partial differential equation.  Iterative solution methods; curvilinear grids. Students will program basic algorithms.","AER E 310 or M E 335, and programming experience",3,3
135,"AER E 547","Computational Fluid Mechanics and Heat Transfer II","Application of computational methods to current problems in fluid mechanics and heat transfer. Methods for solving the Navier-Stokes and reduced equation sets such as the Euler, boundary layer, and parabolized forms of the conservation equations. Introduction to relevant aspects of grid generation and turbulence modeling.","AER E 546 or equivalent",3,3
136,"AER E 551","Orbital Mechanics","Review of 2-body problem. Orbital maneuvers. Relative motion in orbit. Orbit perturbation analysis. Gravity field expansions and effects on orbiters. 3-body problem with applications.","AER E 351",3,3
137,"AER E 556","Guidance and Navigation of Aerospace Vehicles","Principles of guidance systems for spacecraft, launch vehicles, homing and ballistic missiles. Optimal guidance. Interplanetary transfer guidance with low thrust. Principles of inertial navigation. Theory and applications of the Global Positioning System. Celestial navigation procedures. Application of Kalman filtering to recursive navigation theory.","AER E 331",3,3
138,"AER E 563","Introduction to Multidisciplinary Design Optimization","Introduction to the theory and methods of Multidisciplinary Design Optimization (MDO), including system coupling, system sensitivity methods, decomposition methods, MDO formulations (such as multi-discipline feasible (MDF), individual discipline feasible (IDF) and all-at-once (AAO) approaches, and MDO search methods.","senior standing in College of Engineering or permission of instructor",3,3
